rangers	,护林员
sawdust	,锯末
pits	,坑
components	,组件
manufacturers	,厂商
chemicals	,化学药品
competitors	,竞争者
coverage	,覆盖范围
graphics	,图形
visual	,视觉的
misleading	,误导的
versions	,版本
controversy	,争议
ridiculous	,荒谬的
assumptions	,假设
editorials	,社论
emotional	,情感的
funding	,资金
group discussion marks	,小组讨论分数
middle term test	,期中考试
data analysis	,数据分析
photo statistics	,照片统计
extra time	,额外时间
communication system	,通信系统
personal interest	,个人兴趣
secretary of department	,部门秘书
computer office	,电脑办公室
past course materials	,之前课程材料
international reputation	,国际声誉
history research	,历史调查
conference report	,会议报告
ground plan	,平面图
chat rooms	,聊天室
computer skills	,电脑技能
teaching staff	,教职人员
global listening	,宏观听力
eye contacts	,眼神交流
card catalog	,卡片目录
lack of soil	,缺土
food pest	,食物害虫
environmental damage	,环境危害
food chain	,食物链
fill in worksheet	,填工作单
model guide	,模范导游
video camera	,摄像机
measuring equipment	,测量设备
natural ability	,自然能力
good effort	,努力
leadership skill	,领导力
accessible discussion	,可参加的讨论
braking system	,刹车系统
environmental issues	,环境问题
management of change	,改变管理
financial aids	,经济援助
working style	,工作类型
late submission	,延迟提交
lack of research	,缺乏调查
farming method	,耕种方法
knowledge sharing	,知识共享
uniform level	,同一水平
seating capacity	,载客数
picture framing	,构图
packing materials	,包装材料
story conference	,故事会议
stage production	,舞台布置
planning meeting	,计划会议
videotape editor	,视频编辑
population movement	,人口流动
interview method	,面试方法
exam preparation	,备考
weaker students	,差生
external organisation	,外部组织
word limit	,字数限制
internet connections	,网络连接
professional learning	,专业学习
in-class simulation	,课内模拟
video recording	,视频录制
plastic bottle	,塑料瓶
residence hall	,学生宿舍
life science	,生命科学
financial planning	,金融计划
medical skills	,医术
customer relationship	,顾客关系
department head	,部门主管
interview questions	,面试问题
identity card	,识别卡
dress code	,着装要求
preserve memories	,保存记忆
show off status	,炫耀地位
reflect tastes	,体现品位
personal identity	,个人验证
local community	,当地社区
storage warehouse	,仓库
social information	,社会信息
creative ideas	,创造性想法
living expenses	,生活花费
survey methods	,调查方式
flour outlet	,面粉出口
permanent records	,永久记录
optional course	,选修课
drinking machines	,饮料机
cash machine	,验钞机
laundry service	,洗衣服务
photocopy office	,影音室
self-access lab	,自主实验室
electronic directory	,电子目录
text structure	,文章结构
digital history	,数码史
media studies	,媒体学习
natural resources	,自然资源
environmental projects	,环境项目
global access	,全球通用
listening task	,听力任务
book loan	,借书
compulsory course	,必修课
full-time study	,全职学习
flexible-time study	,兼职学习
active volcano	,活火山
extinct volcano	,死火山
cleaning products	,清理产品
placement test	,分班测试
company premises	,公司地址
leisure activities	,休闲活动
senior advisor	,高级顾问
visual aids	,视觉辅助工具
fossil remains	,残存化石
human interference	,人为干扰
natural routine work	,日常工作
coffee bar	,咖啡吧
shop display	,商品展示
personal service	,个人服务
current study	,当前研究
video approach	,录像研究方法
job opportunities	,工作机会
higher fees	,更高价格
borrowed language	,外来语
confidence building	,建立自信
numeracy skill	,计算能力
networking opportunities	,网络机遇
research method	,调查方式
audio recording	,音频录制
lack of participation	,缺乏参与
community reference	,社区推荐信
council meeting	,议会会议
renewable energy	,再生资源
nuclear plants	,核电站
traditional resource	,传统资源
small electric equipment	,小电子设备
solar panel	,太阳能电池板
sports shoes	,运动鞋
poor paying	,报酬低的
overseas training	,海外训练
no chemical reaction	,无化学反应
current material	,现有材料
brief notes	,简要记录
supportive atmosphere	,互助气氛
essential training	,基本训练
university support staff	,大学服务人员
background reading	,背景阅读
online forum	,在线论坛
soil sample	,土壤样本
blood pressure	,血压
stress level	,压力级别
school stadiums	,校体育馆
school gym	,校健身房
less oxygen	,缺氧
accurate date	,确切日期
similar age	,相似年龄
sports activities	,体育活动
art institution	,艺术机构
abstract design	,抽象设计
largest proportion	,最大比例
observation checklist	,观察清单
non-observation method	,非观察手段
test results	,测试结果
original jewellery	,原样珠宝
wood curve	,木材弯曲
crisis management	,危机管理
monitoring progress	,监管进程
program assessment	,程序评定
team building	,团队建设
budget management	,预算管理
finding investment	,寻找投资
insufficient revenue	,财政收入不足
food shortage	,食物缺乏
power cut	,停电
visual guidance	,视觉引导
information resources	,信息来源
reference letter	,推荐信
flexible study time	,灵活的学习时间
lab facilities	,实验室设备
medicine science	,医学
engine capacity	,发动机容量
greater utility	,更大的用处
safe car	,安全车辆
extra height	,额外高度
field of vision	,视野
commercial applications	,商业应用
economic purpose	,经济目的
higher cost	,更高成本
cost of insurance	,保险费用
destination desert	,目的地沙漠
marine desert	,海洋沙漠
social interactions	,社会交往
unexpected noise	,未预料的噪声
unbalanced skill improvements	,不平衡的技能提高
gradual way	,渐进的方式
job responsibilities	,工作责任
local faculty	,当地部门
material background	,材料背景
unanswered questions	,未回答的问题
standard format	,标准格式
practical knowledge	,实用知识
business journalism	,商务新闻
scientific term	,科学术语
childish language	,幼稚的语言
seed germination	,种子发芽
objective matters	,客观的问题
housing project	,住宅项目
colors and fonts	,颜色和字体
book allowance	,图书津贴
greater utility	,更大的效用
unexpected noise	,意想不到的噪音
open day	,开放日
social reforms	,社会改革
academic performance	,学业成绩
household appliances	,家用设备
conflicting opinions	,意见冲突
