code	,密码
cultivation	,栽培
consumption	,消费
accept	,接受
purpose	,目的
rivals	,竞争对手
complex	,复杂的
timber	,木材
sustainable	,可持续发展的
microscope	,显微镜
flavour	,味道
drugs	,药物
whistle	,吹口哨；口哨
instinctive	,本能的
preserved	,保存的
poet	,诗人
antibiotic	,抗生素
moisture	,水分，,潮湿
restrained	,克制的
documentation	,文档
tutorials	,教程
journalism	,新闻
depth	,深度
remember	,记得
navigational	,航行的
evolution	,进化
commerce	,商业
standard	,标准（的）
Greek	,希腊人
dominant	,占主导地位的
mixture	,混合物
hospitality	,好客
symbols	,符号
critics	,评论家
protected	,受保护的
stimulate	,剌激
description	,描述
lonely	,孤独的
industrial	,工业的
trumpet	,小号
receiver	,接收机
magnet	,磁铁
pottery	,陶器
lions	,狮子
emperor	,皇帝
feathers	,羽毛
wealth	,财富
taxes	,税
saliva	,唾液，,口水
cleanliness	,清洁度
excavation	,挖掘
pumice	,浮石
luxurious	,豪华的
physician	,医师
unsanitary	,不卫生的
outbreaks	,爆发
craft	,工艺
associations	,协会
commercial	,商业的
chemist	,化学家
acid	,酸
shelter	,避难所
nectar	,花蜜
disinfectant	,消毒剂
ecologist	,生态学家
composition	,组成
tropical	,热带的
dense	,浓的，茂密的
session	,会议
quantity	,数量
indication	,指示
watermills	,水车
windmills	,风车
lace	,花边
ribbons	,色带，缎带
enormous	,巨大的，极大的
carts	,购物车
numerous	,众多的
canals	,运河
knowledgeable	,知识渊博的
retailing	,零售业
entrepreneurs	,企业家
explosion	,爆炸
necessities	,必需品
unimaginable	,难以想象的
arid	,干旱
charcoal	,木炭
dependable	,可靠的
livestock	,家畜
notable	,值得注意的
cereals	,谷物
additional	,额外的
initiative	,主动权；主动的
original	,起初的，原创的
colony	,群落，殖民地
phase	,(电的）,相，,阶段
companionship	,情谊，友谊
spray	,喷剂
stability	,稳定
calculation	,计算
eclipse	,日食，,月食
rumor	,谣言
frustration	,挫折
claw	,爪子
cushion	,靠垫
damp	,潮湿阴暗的
mobility	,活动性
durable	,持久的，耐用的
mechanism	,机械装置，,机制
pharmacy	,药房
inscription	,刻字，,铭文
apron	,围裙
automotive	,汽车的
courtyard	,庭院
introductory	,介绍的
rationale	,基本原理，,根本原因
evaluative	,评价的，,估值的
hawk	,鹰
virtuous	,道德高尚的
relevance	,相关性
album	,相册
fragile	,脆弱的，,易碎的
catering	,餐饮
dissatisfaction	,不满意
controversial	,有争议的
faulty	,错误的
ethical	,伦理的，,道德的
correlation	,联系，,相关
accessible	,可接近的
sandal	,凉鞋
horticulture	,园艺学，,园艺
artificial	,人工的
sweetener	,甜味剂
obesity	,肥胖
knitting	,编织
maintenance	,维持，,维修
pedestrian	,行人
pavilion	,亭子
affordable	,支付得起的
skeleton	,骨架
animation	,动画，,动画片
apprenticeship	,学徒期
machinery	,机器，,机械
refurbishment	,翻新，,整修
texture	,质地，,质感
kingfisher	,翠鸟
scary	,吓人的
meditation	,冥想
jealousy	,妒忌
initiation	,入门，,初学
ardent	,热烈的，,激情的
capitalism	,资本主义
inspiration	,灵感
profound	,强烈的，,极度的，,深刻的
depression	,忧郁，,沮丧
resilience	,弹性，,复原能力
attic	,阁楼
cardboard	,纸板
nucleus	,核
cuisine	,饮食
coincidence	,巧合
methodology	,方法论
adolescent	,青少年（,的）
barrier	,障碍
intense	,强烈的
collaboration	,合作
maternity	,母亲身份
tractor	,拖拉机
packet	,包装
modification	,修改
garment	,服装
hardship	,艰难
linen	,亚麻，,床单
hemp	,麻类植物
dominance	,主导，,占优势
herb	,草药
patio	,院子，,天井，,平台
agenda	,议事日程
railing	,栏杆
emission	,排放，,散发
extinction	,灭绝
spice	,香料
voyage	,航海，,航行
beach	,沙滩
identify	,辨认，,认同
forthcoming	,即将到来的
woodwork	,木工活
lunchbox	,午餐盒
litter	,垃圾
staff	,员工
bins	,垃圾箱，,垃圾桶
lighthouse	,灯塔
cave	,洞穴
entrance	,入口
individuals	,个人
veterinary	,兽医
initial	,最初的
placement	,安置地，,住所
lamb	,恙羊
rear	,饲养，,培养
wool	,羊毛
labyrinths	,迷宫
prayer	,祷告
carvings	,雕刻品
tribe	,部落
turf	,草皮，,草地
mental	,心智的，,心理的
setting	,环境，,背景
prison	,监狱
patients	,病人，,患者
sufferers	,患者，,受难者
arrange	,安排
hobbies	,爱好
refreshments	,茶点
design	,设计
owners	,业主，,拥有者
politics	,政治
servants	,仆人
milk	,挤奶
dairy	,乳制品
barn	,谷仓
shed	,棚屋
parkland	,园地
reviews	,书评，,剧评
analysis	,分析
plot	,情节
set	,布景
costume	,戏服，,演出服装
illustrate	,解释，,阐明
conflict	,冲突，,争端
plays	,戏剧，,剧作
appeal	,吸引力；,吸引人的
interpret	,理解
approximately	,大约
content	,内容，,主题
fund	,基金
secure	,牢固的，,稳固的
consequences	,结果
expert	,专家
kayak	,单人独木舟（,有顶棚的），,皮划艇
wetsuit	,橡胶潜水服
invaluable	,宝贵的
substantial	,丰盛的，,可观的
pasta	,意大利面食
casserole	,砂锅
percussion	,打击乐器
parental	,父母的
mess	,杂乱
spectator	,观众
sponsor	,资助（,者），,赞助（,者）
panic	,恐慌
gap	,缝隙，,沟
ultimate	,最终的，,极端的
democratic	,民主的
naturalist	,博物学家
philosopher	,哲学家
bizarre	,罕见的，,异乎寻常的
stork	,鹤（一种鸟）
zoological	,动物学的
gram	,(质量单位）,克
possibility	,可能性
plumber	,管道工，,水暖工
electrician	,电工，,电器技师
vacuum	,真空
dust	,灰尘
turnover	,人员流动率
preferential	,优待的，,优惠的
tangible	,可触摸的，,可感知的
retention	,保留，,维持
brewery	,啤酒厂，,啤酒公司
worthwhile	,值得的
rewarding	,有回报的
prospect	,前景
innovative	,创新的，,革新的
cricket	,蟋蟀，,板球
vent	,通风口
hockey	,曲棍球
leather	,皮革
maple	,枫树
syrup	,糖浆
jar	,坛子，,罐
waffle	,威化饼
pastry	,糕点，,茶点
preservative	,防腐剂
criterion	,标准，,准则
partial	,不完全的，,部分的
exposure	,曝光
indigenous	,本土的，,土生土长的
diameter	,直径
formation	,形成
trunk	,树干
tube	,管道
bucket	,水桶
nutrient	,营养物质
pan	,平底锅，,烤盘
steam	,蒸汽
complaint	,n抱怨
comment	,n评论，,意见：,注释
consideration	,n.考虑
reliability	,n.,可靠性
crucial	,adj. 至关重要的，,关键的
dedication	,n,奉献
creativity	,n,创造力
imaginative	,adj.,有想象力的
fundraising	,n ,筹集资金
theatrical	,adj.,戏剧的
vulnerable	,ad.,脆弱的
competitive	,ad.,竞争的
inspiring	,adj.,鼓舞人心的
poacher	,n,偷猎者
Ivory	,n.,象牙
enforcement	,n,实行，,强加
vet	,n,兽医
manoeuvre	,n.,策略，,聪明之举
tranquiliser	,n,镇静剂
suffocation	,n. ,窒息而死，,闷死
matriarch	,n.,女族长，,女家长
tusk	,n.,象牙
recovery	,n,恢复
chef	,厨师，,主厨
steep	,陡峭的
slope	,斜坡
provision	,供给，,补给
resident	,居民
clinic	,诊所
curve	,（,使),弯曲
eruption	,迸发，,喷发
catastrophic	,灾难的
consistent	,一致的，,符合的
terminology	,术语
haze	,雾霾
fog	,雾
respiratory	,呼吸的
weird	,奇怪的
ambassador	,大使
impact	,影响
dramatic	,戏剧的
fallout	,沉降物，,恶果，,不良影响
famine	,饥荒
mortality	,死亡人数，,死亡率
diary	,日记
briefcase	,公文包
item	,物品，,东西
waistcoat	,马甲
decorative	,装饰的
stylish	,优雅的，,有格调的
profession	,工作，,职业
possession	,所有物，,财产
pickpocket	,扒手
string	,绳子
embroidery	,刺绣
photographer	,摄影师
associate	,准会员：,朋友，,伙伴
pale	,浅色的：,苍白的
signal	,信号，,显示
reservoir	,水库
adventurous	,冒险的
automation	,自动化
optimistic	,乐观的
repetitive	,重复的
incredible	,难以置信的
innovation	,革新，,创新
efficient	,好用的：,效率高的
foreseeable	,可预见的，,可预料的
hairdressing	,理发
hairdryer	,吹风机
dictation	,口述，,听写
census	,人口普查，,调查
redundant	,多余的，,累赘的
collision	,碰撞
orbit	,轨道
constellation	,星座
debris	,碎片，,残片
operator	,操作员；,运营商；,专业公司
prediction	,预测
receptionist	,前台，,接待员
CV	,个人简历
entry	,进入：,参赛
gallery	,画廊
interior	,内部的 ,内部
cloakroom	,衣帽间，,衣帽奇存处
rucksack	,背包
shepherd	,牧羊人
staircase	,楼梯，,台阶
variation	,变化，,变体
origami	,折纸艺术
verbal	,言语的
clumsy	,笨拙的
fraction	,分数，,小部分
symmetry	,对称
literary	,文学的，,与文学相关的
genius	,天才：,天赋
criticism	,批评
portrait	,画像，,肖像
intricate	,错综的，,复杂的
shadowy	,阴暗的，,不为人知的
solemn	,庄严的
lounge	,大厅
low impact	,小冲击
alternative energy	,新能源
roads and bridges	,路和桥
high absence rate	,高缺席率
persuasive writing	,说服性文章
academic essays	,学术论文
ocean conditions	,海洋条件
study ability	,学习能力
simple memories	,简单回忆
information sector	,信息部门
digital store	,数码商店
volcanic dust	,火山灰
bar code	,条形码
climate change	,气候变化
learning difficulty	,学习障碍
reading difficulty	,阅读障碍
low nutrition	,缺乏营养
desert habitat	,沙漠栖息地
no change	,无变化
extra resources	,额外资源
private property	,私人财产
fruit growing	,果树栽培
specialised software	,专业软件
chewing gum	,口香糖
water pipes	,水管
big company	,大公司
action plan	,行动计划
window glass	,窗玻璃
road building	,道路建设
knife handle	,刀柄
olive oil	,橄榄油
goat skin	,山羊皮
high temperatures	,高温度
land bridge	,陆桥
fresh meat	,鲜肉
food intake	,食物摄入
eating pattern	,吃饭习惯
transport museum	,交通博物馆
water tanks	,水箱
government election	,政府选举
car tax	,购车税
food chain	,食物链
textile factory	,纺织厂
tea tree oil	,茶树油
video cameras	,摄像机
carbon dioxide	,二氧化碳
global warming	,全球变暖
online service	,在线服务
social activities	,社会活动
further training	,进阶训练
internal flight	,国内航线
traffic flow	,车流量
short stroke	,短笔画
large-scale housing	,大面积住房区域
group meeting	,团队会议
standard feedback	,标准反馈
mission statement	,任务清单
training session	,训练阶段
soil damage	,土壤损害
broken axe	,损坏的斧子
fish bones	,鱼骨
triangle-shaped	,三角形的
absence rate	,缺席率
green tax	,环保税
transport service	,运输服务
sleeping disturbance	,睡眠障碍
public square	,广场
feeding time	,喂食时间
vertical cabin	,垂直座舱
ask for apology	,寻求道歉
voices and faces	,声音和脸
heart rate	,心率
red blood cell	,红细胞
Indian tribes	,印第安部落
grain pattern	,谷物图案
prime motivation	,主要动机
streets and roads	,街道和公路
forest planet	,森林星球
extra resources	,额外资源
ship building	,造船
natural fiber	,天然纤维
melting pot	,熔炉
carbon mining	,碳矿
fishing lesson	,钓鱼课程
known world	,熟悉的世界
silver coins	,银币
Roman emperor	,罗马皇帝
social conformity	,社会从众性
law firm	,律师事务所
protective clothing	,防护衣物
market share	,市场 ,占有率
reflective practice	,应激训练
habitat loss	,栖息地丧失
rich experiences	,丰富经历
zero noisy	,无噪声的
durable contracture	,持久性痉挛
land resources	,陆地资源
fish farming	,鱼类养殖
hospitality industry	,酒店管理
time and sequence	,时间和顺序
language barrier	,语言障碍
wealthy people	,富有的人
food prices	,食物价格
presence rate	,出勤率
direct route	,直达路线
tracking devices	,跟踪设备
operation manager	,执行经理
fish hooks	,鱼钩
rare glass	,稀有玻璃
cooperation process	,合作过程
social glue	,社会黏性
carpet case	,地毯箱
transport system	,交通系统
hand torch	,手电筒
boring content	,乏味的内容
traditional lecture	,传统课程
regular basis	,常规基础
extreme sports	,极限运动
lifestyle sports	,生活方式运动
better equipment	,更好的设备
traditional sports	,传统运动
restricted regulations	,限制规定
regular training	,常规训练
individual competition	,个人竞争
sense of community	,社区意识
salt content	,盐分含量
rice cultivation	,稻株栽培
skin of frog	,青蛙的皮肤
glass bottle	,玻璃瓶
open roof	,开放式房顶
sand base	,沙基
high protein	,高蛋白
fiber diet	,纤维食物
constant temperature	,恒温
average size	,平均尺寸
good eyesight	,好视力
major illness	,主要的疾病
quality of life	,生活质量
physical changes	,物理变化
particular disease	,特殊疾病
dark blue veil	,深蓝色面纱
scientific backup	,科学支持
migration patterns	,迁徙类型
preserved remains	,保留的遗迹
mineral soil	,矿物质土壤
tape measure	,卷尺
soft sediment	,松软沉积物
plant pot	,植物盆栽
estate agent	,房产经纪人
botanic garden	,植物园
emergency locator beacon	,应急定位器信标
digestive problem	,消化问题
red blood cells	,红细胞
weight loss	,减肥
fishing net	,渔网
pigeons and rats	,鸽子和老鼠
mineral soil	,矿物土壤
still water	,静止的水
stored temperature	,储存温度
frozen food	,冷冻食品
migration patterns	,迁移模式
particular disease	,特殊疾病
mission statement	,使命宣言
administration officer	,行政官员
machines and robots	,机器或机器人
smooth ride	,平稳的骑
rubber tyre	,橡胶轮胎
desert locations	,沙漠地区
southern Scotland	,南苏格兰
head offices	,总部办公室
global market	,全球市场
safe environment	,安全的环境
feeding time	,喂食的时候
hearing loss	,听力损失
silver coins	,银币
maintain the gene diversity	,保持基因多样性
hinder domestic smells	,阻碍内部的气味
transport costs	,运输成本
ship building	,造船业
cleansing properties	,清洁特性
gum tree	,胶树
gene diversity	,基因多样性
multiple tasks	,多种工作
nature reserve	,自然保护区
nesting boxes	,鸟巢箱
car park	,停车场
participate in	,参加
jet black	,乌黑
sea eagles	,海雕
fur seals	,海狗，,海獭
dairy cows	,奶牛
fundamental change	,本质的改变
medical terminology	,医学术语
up to date	,最新的
New Year's Eve party	,跨年夜聚会
audio guides	,语音导览
mini tractors	,迷你拖拉机
adventure playground	,冒险乐园
rare breeds	,稀有物种
particular scene	,演员表演
actor's delivery	,演员表演
recognisable characters	,有辨识度的角色
digital technology	,数码科技
Icelandic language	,冰岛语
computer-based concepts	,基于计算机的概念
web browser	,网页浏览器
surfing holiday	,冲浪假期
specialist teacher	,专家老师
southern pole	,南极
hibernation instinct	,冬眠本能
pressure washer	,压力清洗装置
security check	,安全检查
professional athlete	,专业运动员
table tennis bats	,乒乓球拍
horse harnesses	,马具
