canoe	,独木舟
gallery shop	,画廊
food containers	,食物容器
good shoes	,好鞋
formal clothes	,正装
dance show	,舞蹈表演
delivery note	,交付单
mountain climbing	,爬山
coach trip	,训练旅程
bush fire	,丛林火灾
attraction zone	,景区
handle animals	,驯养动物
good washing facilities	,高效清洁设备
trial test	,模拟测试
provisional license	,临时证件
practical theory	,实际理论
pretzel factory	,饼干厂
train ride	,火车之旅
prepare refreshments	,准备点心
weather forecast	,天气预报
hot balloon	,热气球
family-fast-line track ticket	,家庭快线票
fast line ticket	,快速通道票
cowboy show ride	,牛仔表演之旅
herbal treatment	,草药治疗
skating rink	,溜冰场
one-to-one coach	,一对一教练
introductory price	,入门价格
gym room	,健身房
heart monitor	,心脏监视器
free massage	,免费按摩
water bottle	,水瓶
beach front view	,沙滩前景
bright fabric	,明亮织物
well-known singer	,知名歌手
bottle collection	,瓶子收集
ink cartridge	,打印机墨盒
picnic area	,野餐区
meal ticket	,餐券
fuel consumption	,燃料消耗
oil filter	,油滤器
global travel	,全球旅行
loss of instruments	,仪器损失
steer the boat	,掌船舵
marine animals	,海洋动物
marine history	,海洋史
meadow campsite	,牧场野营地
caravan park	,房车停车场
green lounge	,绿色躺椅
cash point	,取款机，,现金处
unregistered taxi	,黑车
plastic bag	,塑料袋
compulsory modules	,必修模块
objective matters	,客观物质
final score	,最后分数
ancient history	,远古历史
wooden peg	,木头桩
animal bones	,动物骨头
roof scaffold	,房顶脚手架
changing room	,更衣室
hospital comedy	,医院喜剧
family life	,家庭生活
science fiction	,科幻片
heavy stuff	,重物
business district	,商业区
garden tools	,园艺工具
exotic plants	,外国植物
building materials	,建筑材料
single session	,单独课程
English proficiency	,英语熟练度
police offence	,袭警
traffic violation	,违反交规
practical elements	,实用元素
tuition fees	,学费
compulsory course	,必修课
agriculture fair	,农业集市
annual report	,年报
electric card	,电子卡
solar panels	,太阳能板
electric cooker	,电子炊具
gas cooker	,煤气灶
inquiry desk	,问询台
campus clinic	,校医院
local owners	,当地所有者
clothes manufacturing	,服装制作
professional model	,专业模特
fashion exhibition	,时尚展览
limited time	,有限的时间
toy train	,玩具火车
gift shop	,礼品店
free locker	,免费储物柜
personal belongings	,个人物品
curriculum vitae	,简历
volunteer list	,志愿者名单
luggage lockers	,行李柜
bike racks	,自行车架
waiting room	,等候室
test room	,考场
meadow campsite	,草地露营地
green lounge	,绿色的休息室
dinosaur bones	,恐龙骨骼化石
night tour trip	,夜游旅行
artificial light	,人造光
mineral resources	,矿产资源
racing car	,赛车
face painting	,面部彩绘
wood of hazel	,榛树的木头
building wood	,建筑木材
heavy stuff	,重的东西
annual report	,年度报告
trade journals	,贸易期刊
guest speaker	,特邀发言人
residential area	,居住区
troop exercises	,军事演习
wooden sculptures	,木雕
extended family	,大家庭
related project	,相关项目
tour manager	,旅游经理
heritage sites	,遗迹
adventure playground	,冒险公园
formal gardens	,正式花园
wild flowers	,野花
palm trees	,棕榈树
